date,hour,activity,workout,keywords,time,i0,i1,i2,i3,i4,i5,distance(km),climb(m),intensity,t-intensity,ahr,mhr,controls,spiked,rhr,sleep,weight(kg),injured,sick,restday,shoes,route,description,private note
2012-08-23,17,Running,,,01:32:22,,,,01:32:22,,,14.232,396.0,3.0,,,,,,,,,,,,Mizuno Aero 9,,"KRP:n kanssa vuosijuoksua Oslossa. Juice lauloi ""mies tuli vuonolta näyttäen huonolta"". Tän lenkin jälkeen oli sanottava, ""mies tuli vuorelta näyttäen huonolta"". Mizunon paskat taas lipsahti kriittisessä paikassa ja verta valui useasta kohdasta. Siisti lenkki kuitenkin. Upeat maastot, hieno ilma ja kovankuntoista seuraa.",
2012-08-26,12,Running,,,02:08:07,,,,,02:08:07,,25.705,763.0,4.0,,,,,,,,,,,,Mizuno Aero 9,,"Oslon reissun päätteeksi piti saada myös ittelle matkamuisto. Ja näinä kulutuskritiikin aikoina päädyin ns. aineettomaan matkamuistoon, eli gps-jälkeen Holmenkollenilta. Siellä haisi Dahlien, Myllylän ja Ulvangin hiki ja terveen näköistä väkeä oli kuin pipoa. Hieno lenkki. Välillä pirun hankalaa polkua ja loppu asfalttia alamäkeen. Otti jo vähän reisiin.",
2012-08-26,12,pesäpallo,,,00:07:00,,00:07:00,,,,,,,1.0,,,,,,,,,,,,,,Pesäpalloa Vigelandin puistossa suomiseuran väreissä. Parin kunnarin ja takalaittoman jälkeen jouduin lähtemään Helsingin lennolle. Valitettavasti gps-jälkeä ei ole tarjolla.,
2012-08-28,16,Orienteering,,,00:52:59,,,,,00:21:00,00:31:59,8.387,143.0,4.6,,173,188,,,,,,,,,VJ Bold,,"Iltarastit sillaa reippaasti. Ihan hyvin jaksoin vaikka kollenin lenkki ja norjan reissu painoi kintereissä. Sunnuntaina e-gamesissa kokeillaan pitkä matka.

http://muuankarski.org/suunnistus/doma/show_map.php?user=markus&map=72

http://www.espoonakilles.fi/er12/er22_t.htm",
2012-08-28,18,Running,,,00:15:00,,,,00:15:00,,,3.0,,3.0,,,,,,,,,,,,VJ Bold,,verskat ennen ja jälkeen,
2012-08-30,,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,,,,,,,,"iltapäiväharjoitus. Haara-asennoissa vähän juoksun kireyttä. Tästä vetreydytään sopivasti sunnuntaille, jolloin vetun eliitti ottaa yhteen Espoossa.

http://espoonsuunta.fi/wp-content/uploads/2012/08/LahtolistaSeuroittain.htm#VetU",
2012-09-01,11,Running,,,00:50:00,,,,00:50:00,,,10.0,,3.0,,,,,,,,,,,,Mizuno Aero 9,,"Nuuksion polkumaratonin kuvausta. Juoksentelua huippujen ja vähemmän huippujen perässä stedicamin kanssa. Valmennettava hyyty lopussa, mutta treenimääriin nähden veti tosi hyvin.

http://racesplitter.com/races/43BE0E379 ",
2012-09-02,10,Orienteering,,,01:30:20,,,,,00:30:20,01:00:00,12.685,202.0,4.66,,174,184,,,,,,,,,VJ Bold -11,,"egamesin pitkä matka. Tarkemmat analyysit illemmalla jahka voi reittihärvelistä pölliä kartan. Ei tullut mitään omituista sammumista, olkoonkin että loppu oli aika taapertamista. Hieno rata ja sää! Ja kisapaikalla soitettiin Wigwamia! Kunnon progea, eikä mitään Nigthwishin rämpytystä.

Doma:
http://muuankarski.org/suunnistus/doma/show_map.php?user=markus&map=77

<iframe width=""420"" height=""315"" src=""http://www.youtube.com/embed/191k-VU2mYY"" frameborder=""0"" allowfullscreen></iframe>",
2012-09-03,18,Orienteering,,,00:52:37,,,,,00:52:37,,7.488,122.0,4.0,,171,182,,,,,,,,,VJ Bold -11,,"Maanantairasteilla Karjaalla. Olin kuullut poikkeuksellisen tasokkaasta ratamestariryhmästä sekä huippumaastosta, joten oli pakko lähteä katsastamaan Keski-Uusimaan taso. Sykkeiden mukaan vedin täysiä, mielestäni hissuttelin. Kulku oli hidasta, mutta varmaa. Todella jylhä peitteinen kalliomaasto. 

Doma:
http://muuankarski.org/suunnistus/doma/show_map.php?user=markus&map=83",
2012-09-03,18,Running,,,00:20:00,,,,00:20:00,,,3.0,,3.0,,,,,,,,,,,,VJ Bold -11,,"Alkuverkat ja loppuverkkana juoksu hakemaan erään rastin lähellä olleet järjettömän kokoiset kanttarellit.

<iframe src=""http://ubuntuone.com/1vsGAkrfYBcZIdBHZUZzhO"" width=""450"" height=""600""></iframe>",
2012-09-08,14,Running,,,00:19:51,,,,00:19:51,,,4.4,26.0,3.0,,,,,,,,,,,,Mizuno Aero 9,,"Verryttelyt kisapaikalle. Ei karttaa mukana, joten hyvä muistiharjoitus. hiki tuli pintaan",
2012-09-08,14,Orienteering,,,00:18:46,,,,,00:18:46,,4.229,21.0,4.0,,,,,,,,,,,,Mizuno Aero 9,,"Figgate Parkin lauantaisprintti. Juhlaillallisen ja pitkän yöjuoksun päätteeksi normaalia enemmän sydämentykytyksiä. Sen verran kimuranttia ratamestarityötä, että ei pystynyt koko aikaa paahtaa. Pariin miinaan ajoin. Mukava tapahtuma, kannatti lähteä.

Doma:
http://muuankarski.org/suunnistus/doma/show_map.php?user=markus&map=86",
2012-09-08,14,Running,,,00:45:46,,,,00:45:46,,,6.751,272.0,3.0,,,,,,,,,,,,Mizuno Aero 9,,"Ja verryttelyt takaisin hotellille. Matkalle osui reilu 200metrin Arthurs Seat -kukkula. Oli upeat näkymät.

<iframe src=""http://ih1.redbubble.net/image.4144361.9905/flat,550x550,075,f.jpg"" width=""600"" height=""400"">",
2012-09-09,10,Running,,,00:32:20,,,,00:32:20,,,5.749,186.0,3.0,,,,,,,,,,,,Mizuno Aero 9,,"Sen verran väsytti aamulla, ettei ehtinyt tämän pidempään ennen check-outtia. Sopiva noususumma aamun pikku herättelylle. Kyllä tulis menestystä keski-euroopassa jos aamulenkit ois tällasia.",
2012-09-11,17,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,,,"Ah, jooga. Vähän lentsua vielä, mutta onneksi tuli mentyä. Oikea takareisi on krampissa. Ei oo haitannut juoksua, vielä.",
2012-09-12,18,Running,,,00:20:00,,,,00:20:00,,,3.0,,3.0,,,,,,,,,,,,VJ Bold,,verkskat ennen ja jälkeen.,
2012-09-12,18,Orienteering,,,00:38:23,,,,00:38:23,,,5.0,115.0,3.0,,,,,,,,,,,,VJ Bold,,"Hissukseen 5 kilsan rata Hakunilassa. Ei päästy kunnon mettään. Koko kroppa joogasta aivan tulessa. Otin iisisti ja yritin keskittyä. En oikein onnistunut siinäkään.

http://muuankarski.org/suunnistus/doma/show_map.php?user=markus&map=88",
2012-09-14,8,Note,,,,,,,,,,,,,,,,,,,,76.6,,,,,,Vahva olo. Lihaskivut hellittävät juuri sopivasti lauantain starttiin.,
2012-09-14,20,Running,,,00:25:00,,,,00:25:00,,,5.0,,3.0,,,,,,,,,,,,VJ Bold,,"Iltahissuttelut Varkauden tehtaan varjossa. Oikea takareisi kiristää, mutta muuten ihan ok fiilinki.",
2012-09-15,9,Orienteering,race,,00:29:01,,,,,,00:29:01,4.0,,5.0,,,,,,,,,,,,VJ Bold -11,,Keskarin karsinta. Kaks pummia. Ei menny A-finaalin paikka. Siihen ois tarvittu parempaa kuntoa.,
2012-09-15,15,Orienteering,race,,00:42:59,,,,,,00:42:59,5.3,,5.0,,,,,,,,,,,,VJ Bold -11,,B-finaali. Vähän yritin opetella peesaamaan ja tekemään irtiottoja. Kulki paremmin ku aamulla. Enemmän vaan peesailin. Jyrkät ylämäet myrkkyä. ,
2012-09-15,8,Running,,,00:30:00,,,,00:30:00,,,5.0,,3.0,,,,,,,,,,,,VJ Bold -11,,Verryttelyt päivän mittaain,
2012-09-16,12,Running,,,01:25:53,,,,01:25:53,,,8.0,,3.0,,,,,,,,,,,,VJ Bold -11,,"SM-viestin kolmas osuus. Vire tuntui pirun hyvältä ja olikin. Kaikki vaan meni ykkösen karmeaan pummiin ja kakkosen reitinvalintaan. Sitten olin ruuti poltettu. Aika rämpimistä oli kyllä välillä. Vartti kovempaa ois pitäny tulla tälläkin kunnolla.

http://muuankarski.org/suunnistus/doma/show_map.php?user=markus&map=96",
2012-09-18,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,Vähemmän liikuntaa ja enemmän töitä. Tuntuu kankealta.,
2012-09-20,18,Running,,,01:37:07,,,,01:37:07,,,17.637,275.0,3.0,,127,145,,,,,,,,,Mizuno Aero 9,,Naapurin vapaaottelijan kanssa kevytvauhtinen lenkki. Oikea takareisi on kovasti jumissa. Vkonlopun kisat ja kolmen päivän istuminen on jumittanut pahasti. Loppua kohden alkoi kolottaa vähän muualtakin. Ihan pirteästi silti.,
2012-09-20,8,Yoga,,,00:15:00,,,,00:15:00,,,,,3.0,,,,,,,,,,,,,,Vähän aamuvoimistelua. Ihan hirveetä.,
2012-09-22,21,Running,,,00:24:05,,,,00:24:05,,,5.195,25.0,3.0,,140,156,,,,,,,,,,,Iltahölkkä veljen luota. Ei oikeen kulje.,
2012-09-23,19,Running,,,01:10:06,,,,00:51:00,00:10:06,00:09:00,15.734,254.0,3.4,,150,181,,,,,,,,,Mizuno Aero 9,,"Reippaampi iltalenkki synkässä ja myrskyisessä illassa. Vedin yhden kiekan reippaasti (2.6, 10.01) ja toisen täysiä (2.6, 9.33). siinä on joku 60 metriä nousua ja 25 korkeuseroa. Ei mitenkään lentoisaa, mutta ihan ok. Tuolla suolla ja risukossa vaan ei jaksa ollenkaan polkea.",
2012-09-25,20,Running,,,01:24:38,,,,01:24:38,,,16.039,231.0,3.0,,146,165,,,,,,,,,Mizuno Aero 9,,"Lamppulenkki keskuspuistossa ja jossain missä lie. Yritin mahdollisimman paljon juosta pimeitä polkuja. Varmaan tuli koukkuja aika paljon. 

Ennen lenkkiä luonnoin aiheesta ""IT ja suunnistuksen taitoharjoittelu"". Diat:
http://markuskainu.fi/files/6713/4857/5857/presentation.html#slide1",
2012-09-26,20,Orienteering,,,01:15:15,,,,,01:15:15,,7.1,125.0,4.0,,151,174,,,,,,,,,VJ Bold,,"Yö-treeni Kuusijärvellä. Pehmeää olo ja vedin aika kevyellä tatsilla. Etenkin tuon taitopuolen...

Doma:
http://muuankarski.org/suunnistus/doma/show_map.php?user=markus&map=107",
2012-09-28,20,Orienteering,race,,00:54:52,,,,,,00:54:52,6.3,144.0,5.0,,,,,,,,,,,,VJ Bold -11,,"SM-yö karsinta. Ihan hyvin meni, pieniä virheitä ja en ihan täysiä vetäny. Kannatti, vikana a-finaaliin!

http://muuankarski.org/suunnistus/doma/show_map.php?user=markus&map=110",
2012-09-28,20,Running,,,00:25:00,,,,00:25:00,,,4.0,,3.0,,,,,,,,,,,,VJ Bold -11,,Hyväy verruttelyt enne ja jälkeen,
2012-09-29,19,Orienteering,race,,01:42:37,,,,,,01:42:37,13.1,217.0,5.0,,,,,,,,,,,,VJ Bold -11,,"SM-yö A-finaali. No perhaha, hienosti meni läpi. Karu sää, vettä tuli alkuun aika rankasti ja suo oli pehmeitä 46 kengälläkin. Tarkemmat taitoerittelyt domassa.

http://muuankarski.org/suunnistus/doma/show_map.php?user=markus&map=111",
2012-09-29,19,Running,,,00:10:00,,,,00:10:00,,,1.5,,3.0,,,,,,,,,,,,VJ Bold -11,,Sen verrran hölkkäsin viitoituksesta. Kävin rauhassa hupun sisällä läpi tulevaa suoritusta sateen ropistessa gore-texiin.,
2012-10-01,,Note,,,,,,,,,,,,,,,,,,,,,,,1,,,uupumus,
2012-10-02,,Note,,,,,,,,,,,,,,,,,,,,,,,1,,,Töitä ja yskää. Ihan oikeaa yskää. Tuli ventiloitua suon ylityksissä  liian rajusti.,
2012-10-03,,Note,,,,,,,,,,,,,,,,,,,,,,,1,,,yskittää ja matalan työn tuottavuuden vuosi joutuu illasta pidentää,
2012-10-04,,Note,,,,,,,,,,,,,,,,,,,,,,,1,,,Oisko huomenna taas reenipäivä,
2012-10-05,,Note,,,,,,,,,,,,,,,,,,,,,,,1,,,"Vähän kipee, liian paljon töitä. Öisin yskittää.",
2012-10-06,,Note,,,,,,,,,,,,,,,,,,,,,,,1,,,huilasin ku vieläkin heikko olo,
2012-10-07,14,Running,,,01:25:45,,,,01:25:45,,,18.01,304.0,3.0,,152,167,,,,,,,,,Mizuno Aero 9,,"tv-medium. ehkä syssyn hienoin päivä ja aattelin päättää ylimenokauden tähän. tuli vähän huonosti juotua ja kun mustikkamaalla oli miltei hellekeli, niin jano oli ja paheni. Sykkeet nousi siinä samalla. Aika paljon juokukunto viikossa heikkenee kun vaan istuu perseellään ja yskii.",
2012-10-15,17,Running,,,00:41:43,,,,00:41:43,,,7.895,155.0,3.0,,131,145,,,,,,,,,Mizuno Aero 9,,"Paluu lenkkipolulle. Datan mukaan hissuttelulenkki, mutta aika heikolle tuntui puolen välin tienoolla. Lopussa alkoi jo vähän väsymys sulaa. Viikon keskiarvoiset unitunnit siinä kahden kolmen paikkeilla.",
2012-10-17,21,Running,,,00:41:04,,,,00:41:04,,,8.429,108.0,3.0,,,,,,,,,,,,Mizuno Aero 9,,Iltahissuttelu työpaikan kautta. Juoksutekniikkaa tuomiokirkon portaissa. Harjoittelun ja perheen yhteensovittaminen on vielä kesken.,
2012-10-19,20,Running,,,01:03:41,,,,01:03:41,,,14.444,147.0,3.0,,154,173,,,,,,,,,Mizuno Aero 9,,"Hevosmiesten termeillä tv-reipas. Alkuun vähän yski, mutta loppua kohden lämpeni. Takareisi on parantunut kun en oo istunut työtuolilla vaan tehnyt hommia kotona seisoma-asennossa. Sunnuntaina joku raatoon valmistava. 

Oisko se 15 kilsaa sitten Sipoossa viikon päästä??",
2012-10-21,20,Running,,,01:12:18,,,,01:12:18,,,14.499,159.0,3.0,,139,159,,,,,,,,,Mizuno Aero 9,,"Hissuttelin hiljalleen. Hyvin kulki, märkää oli.",
2012-10-25,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,miten helvetissä yhdistää harjoittelu työelämään ja perhe-elämään?,
2012-10-26,,Running,,,00:25:00,,,,00:25:00,,,5.0,,3.0,,,,,,,,,,,,Mizuno Aero 9,,"Raatojuoksuun valmistavaan harjoitusputkeen valmistava iltahissuttelu. Tuntui hirveältä hyvin epäliikunnallisen viikon jälkeen. Ei sinänsä hätää, sillä raadon pahimmat kilpakumppanit, apsu ja pforma, ovat molemmat flunssan kourissa.",
2012-10-27,18,Running,,,00:58:04,,,,00:58:04,,,12.202,196.0,3.0,,150,169,,,,,,,,,Mizuno Aero 9,,Kankiaa juoksua Mustikkamaalla. Todella kankiaa. Muutaman päivän tiivis työputki istumisineen ja valvomisineen on kyllä myrkkyä. Alkuviikosta tuli painoakin varmaan pari kiloa lisää. Huomenna täytynee mennä maastoon tekemään taitoharjoitus. Fyysisesti peli alkaa olla menetetty raatoa silmällä pitäen.,
2012-10-28,19,Running,,,01:25:52,,,,00:25:52,01:00:00,,18.589,296.0,3.7,,153,181,,,,,,,,,Mizuno Aero 9,,"Hevosmiesten kirjanpidon mukaan tv-reipas. Metrolla Hertsikkaan ja siellä pari rinkiä Herttoniemi-Viikki-Myllypuro -rinkiä. Pohkeet oli edellispäivien hölkistä kireänä, mutta muuten kulki jo paremmin. Joku metsäsuunnistusharjoitus olisi hyvä saada viikolle että jaksais mettässä. Olkoonkin jos pakkanen pysyy, niin nykyaskel on routaiseen maastoon aika hyvä.",
2012-10-30,20,Running,,,00:31:43,,,,00:20:43,00:11:00,,7.049,44.0,3.35,,151,169,,,,,,,,,Mizuno Aero 9,,"Iltalenkki Ympyrätalon S-marketin suuntaan. Tätä Töölönlahden rinkiä kiertävät ymmärtääkseni mm. deltajengin seniorit toisinaan. Puiseva lenkki, jossa jokaisen kanssajuoksijan korvista tulee johdot. Ei kummempaa kulkua. Jos huomenna jotain iisiä pitkää maastossa.",
2012-11-01,18,Running,,,01:20:13,,,,01:20:13,,,15.563,255.0,3.0,,146,175,,,,,75,,,,Mizuno Aero 9,,"Viimeistelyjuoksu raatoon. Juoksin 15 kilometriä hiljalleen saadakseni varmuuden että jaksan lauantaina saman matkan. Hyvin jaksoin, mukavaa oli. Paino on pudonnut kun jooga on ollut jäähyllä. Läskiä on kyllä tullut mm. mahaan.",
2012-11-03,10,Orienteering,race,,01:57:15,,,,,01:57:15,,18.623,253.0,4.0,,167,185,,,,,,,,,VJ Bold -11,,"Ei kulkenut tänään. Ei suunnistus, eikä juoksu. Alussa törkeätä pummailua ja juoksu alkoi hiipua hyvin nopeasti. Paras tsemppi jäi kyllä ykkösen reitinvalintaan. Mutta keposesti jaksoin, kuten torstain valmistavan perustella osasin osoittaa. Vauhti ja suunta vaan oli hukassa.

Doma:
http://muuankarski.org/suunnistus/doma/show_map.php?user=markus&map=130",
2012-11-16,,Note,,,,,,,,,,,,,,,,,,,,,,,1,,,Kävin vaunuja työntelemässä. Alaselkä kipeytyi. Alkaa olla kroppa pikku hiljaa palautunut raadosta.,
2012-11-21,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,Menen illalla juoksulenkille,
2012-11-21,,Running,,,00:50:00,,,,00:50:00,,,9.5,,3.0,,,,,,,,,,,,VJ Bold -11,,"Saunalenkki kovassa veteliläisessä seurassa. Hieman juoksutuntuma hävinnyt, mutta miten hienoa. Jos tästä alkaisi hiljalleen taas liikkumaan.",
2012-11-22,,Running,,,00:40:00,,,,00:40:00,,,7.5,,3.0,,,,,,,,,,,,Mizuno Aero 9,,"Yks rinki mustikkamaata naapurin mustan vyön fujitsun kanssa. Veettiin leukoja kilpaa. Pääsin 1-2-3-4-5-6. Aika heikkoa, Mukavasti tuntui eilinen juoksu kintereissä.",
2012-11-27,21,Running,,,00:39:31,,,00:39:31,,,,7.997,156.0,2.0,,146,168,,,,,,,,,Mizuno Aero 9,,Iltalenkki Mustikkamaan ympäri satelliittikellon kanssa. Leuat 4/5. Kankiaa on.,
2012-11-29,20,Running,,,00:38:19,,,,00:38:19,,,7.693,135.0,3.0,,152,169,,,,,,,,,,,"Iltalenkki alkavassa lumipyryssä. Ajattelin Tapani Arviston salitreenejä ja mieleen tuli tämä pätkä rockysta.

<iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/b6w4XtsfyVo"" frameborder=""0"" allowfullscreen></iframe>",
2012-11-30,,cycling,,,00:45:00,,,,00:45:00,,,8.0,,3.0,,,,,,,,,,,,Bullitt cargo,,"Kova vääntö Lauttasaaresta Lintulahteen pahimpaan aikaan. Ei ollut muita pyöräilijöitä. Tällaista sähkövetoa olisi kaivannut.

<iframe width=""420"" height=""315"" src=""http://www.youtube.com/embed/5VqeQjw41ro"" frameborder=""0"" allowfullscreen></iframe>",
2012-12-01,,cycling,,,00:40:00,,,,00:40:00,,,10.0,,3.0,,,,,,,,,,,,Bullitt cargo,,Ajelua tampatuilla pyöräteillä. Kulkee ku juna,
2012-12-02,,cycling,,,00:45:00,,,,00:45:00,,,19.0,,3.0,,,,,,,,,,,,Bullitt cargo,,"Hertikka, viikki vanhakaupunki bullitilla. voimille otti, ehkä vaan tussut kumet.",
2012-12-03,,cycling,,,00:40:00,,,,00:40:00,,,16.0,,3.0,,,,,,,,,,,,Bullitt cargo,,Larusta hain nastat myös taakse. Nyt voi kiihdytellä rajummin valoista.,
2012-12-08,17,cycling,,,00:46:22,,,,00:46:22,,,13.587,75.0,3.0,,,,,,,,,,,,Bullitt cargo,,Arkiliikuntaa satelliittikellon kanssa. Aika paskat on ajaa pyörällä kun on paksusti lunta.,
2012-12-17,21,cycling,,,00:34:59,,,,00:34:59,,,7.787,169.0,3.0,,129,165,,,,,,,,,Bullitt cargo,,"Lähdin katsomaan olisiko Mustikkamaalla ladut jo tehty. Ladut oli erinomaisessa kunnossa, mutta pyörätiet edelleen karmeassa kunnossa. Pk-tehoilla pääsin tuollaista 13 km keskituntituntinopeutta. Jos ne huomenna olisivat auratut niin aloittaisin hiihtokauden. Voisin aloittaa.",
2012-12-22,20,cross-country skiing,,,00:58:14,,,,00:58:14,,,14.46,250.0,3.0,,135,169,,,,,,,,,xc-ski - classic,,"Cargolla menot ja mustikkamaalla pari rinkiä pertsaa. Tuomiokirkon torni näky ja yksin sai hiihellä.

Skeittihallilla oli ollu kuulemma täyttä. Onko hiihto jäämässä pois muodista?",
2012-12-23,20,cross-country skiing,,,00:44:06,,,,00:44:06,,,10.483,186.0,3.0,,126,160,,,,,,,,,xc-ski - classic,,"Piti vetää pari kiekkaan pidemmästi, mutta ekan potkun jälkeen tajusin ettei onnistu. Nivusissa oli kiputilaa ja jäykkyyttä niin, ettei potkuun saanut pitoa. Etelätuuli oli myös tuiskuttanut latua tukkoon. Sen sijaan tulin kotia ja kaivoin rellun hangesta. En merkannut vaikka oli hiihtoa kovempi reeni.",
2012-12-26,19,cross-country skiing,,,01:07:36,,,,,01:07:36,,15.168,194.0,4.0,,153,178,,,,,,,,,xc-ski - classic,,Iltalenkki Piffenin skibanalla Paraisilla. Aamun paukkupakkanen oli lauhtunut nollakeliksi ja pöperöisellä ladulla tervapurkki lipsui. Edellisestä lenkistä vielä kipeät nivuset tekivät lipsuvasta menosta hieman tukalaa. Luvattu plus-asteita seuraaviksi päiviksi. Täytynee viedä peltoset IKRP:n pukille ja pyytää joku leudon kelin hyvä tälli.,
2012-12-28,12,cross-country skiing,,,01:06:50,,,,01:06:50,,,14.776,174.0,3.0,,155,178,,,,,,,,,xc-ski - classic,,"Heikkoa menoa heikolla ladulla. Pitäisi saada ketju-Pentti opettamaan laduntekoa paraislaisille. Ladut ajetaan suvella eikä pakkaspäivänä suven perään. Tai ajetaan ylipäänsä. Suurimmat puutteet kuitenkin suksen päällä, no suksen siteestä irtosi kantalappu. Haarakäyntinousuissa vitutti vielä sitten sekin.",
2012-12-29,9,cross-country skiing,,,00:45:45,,,,00:45:45,,,11.332,128.0,3.0,,148,175,,,,,,,,,xc-ski - classic,,"Aamulenkki ennen lauantain rientoja. Audienssi marathoonari IKRP:n kanssa myöhemmin ja piti varmistaa omalta osalta ettei selityksiä tarvita harjoittelun osalta.

Pakkanen oli kovettanut ladun ja tervan jämät antoivat verrattain hyvän pidon. Kantalappu pitää saada ensi tilassa kiinni.",
2013-01-02,17,cycling,,,01:07:51,,,,01:07:51,,,22.339,177.0,3.0,,144,168,,,,,,,,,Bullitt cargo,,"Vähän lapsiperheen hyötyajoja ja sitten lenkkinä hakemaan lahjapakettia paloheinästä. Ei oikein kulkenut, mutta pääsin perille ja takaisin. Hain alla olevan vehkeen tulevaa kautta varten.

<iframe src=""http://www.nordenmark.com/bilderhtml/produktreklam/mtb-extreme-eng.html"" width=""600px"" height=""600px""></iframe>",
2013-01-05,19,cycling,,,01:08:05,,,,01:08:05,,,24.343,176.0,3.0,,139,169,,,,,,,,,Bullitt cargo,,"Iltalenkki velipojan kanssa. -5 pakkasta ja nastat vaan kipinöi kun vedettiin. Meno oli vähän ku videossa, paitsi että oli miehet ratissa ja milat hehku kypärissä.

<iframe src=""http://player.vimeo.com/video/29442438"" width=""650"" height=""366"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe> <p><a href=""http://vimeo.com/29442438"">Bullitt Girls.</a> from <a href=""http://vimeo.com/user8493397"">Claus Andersen</a> on <a href=""http://vimeo.com"">Vimeo</a>.</p>",
2013-01-06,16,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,,,"Piiiitkästä aikaa joogassa. Kipuillut vanha jalka vaiva ja laiskuus pitäneet poissa. Nyt huolellinen voimistelu. Jäykkä, kipeä ja voimaton on kropasta tullut.",
2013-01-06,16,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,,,,,,,Irina Krohn kertoi juuri elämä pelissä sarjassa kahdeksi parhaaksi harjoituksekseen kylmä uinnin ja joogan. Tein molemmat. Ensi sunnuntaina vielä aamulla kirkkoon. Sen voinee merkitä sielun vaellukseksi.,
2013-01-13,15,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,,,Yoga. Olin niin kipeä koko viikon etten voinut mennä kuin vasta tänään. Avannossa ja kirkossa jäi käymättä.,
2013-01-19,14,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,,,"Viikon tärkein ja ainoa harjoitus. No, kävin tän jälkeen vähän pidemmän kauppareissun cargolla. Töitä ja yskää tuppaa olemaan.",
2013-02-02,,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,,,,,,,,niskahartiaseisonnassa näin kuinka läski tursusi resistä ja mahasta,
2013-02-03,,cycling,,,00:40:00,,,,00:40:00,,,15.0,,3.0,,,,,,,,,,,,Bullitt cargo,,Eka lenkki Untoon kaa. Tällä mennään,
2013-02-24,18,cycling,,,00:56:59,,,,00:56:59,,,20.792,132.0,3.0,,153,173,,,,,,,,,Bullitt cargo,,"Alotin treenikauden. Oon mä aika paljon arjessa ajellut, mutta muuten en oo tehnyt mitään. Tiukka flunssa kävi ja vähän liikaa ollut istumahommissa. Alkaa aurinko jo sulattaa. Pari viikkoa ja aletaan Unton kanssa heittämään Sipoossa lenkkejä kuivalla pinnalla.",
2013-03-03,20,cycling,,,00:52:53,,,,00:52:53,,,14.185,232.0,3.0,,138,164,,,,,,,,,Lapierre MTB,,"Meni neljä tuntia ja neljä sisuria kun yritin saada takarenkaalle uutta kumia. Tiedoksi tubeless-kiekon kanssa häärääville, että se keskirako on tarkoitettu avuksi tähän hommaan. Hirveessä vitutuksessa viimein illalla pimeällä vähän ajelemaan. Kerran tangon yli, kaikki säädöt pielessä. Kevään tullen alkaa raju sudittelu.",
2013-03-07,11,cycling,,,00:51:08,,,,00:51:08,,,14.713,185.0,3.0,,140,171,,,,,,,,,Lapierre MTB,,"Oisko tää ollu maasturilla.. Oli. Kävin seurasaaren tuntumassa piston jäällä, mutta hanki ei kantanut. Hienoja polkuja keskuspuistossa.",
2013-03-10,12,mtb-o,,,00:40:00,,,,,00:40:00,,8.0,,4.0,,,,,,,,,,,,Lapierre MTB,,"No, en vetänyt lapierrellä vaan iskän spessulla kaustisen puhkion hisu-treenin. Hengästytti kun on ollut hiljaista treenirintamalla.",
2013-03-18,19,cycling,,,00:56:40,,,,00:40:00,00:16:40,,17.111,196.0,3.29,,145,168,,,,,,,,,Lapierre MTB,,"Joku pätkä vähän reilummin, muuten reipasta vääntämistä. Kivinokalla aika upeat koirankusetuspolut. Jotain iloa noista viihde-elukoista. Mila päässä vedin ja lunta satoi. Vähän eri meininki kun tapsan salonkiajoissa turussa.",
2013-03-19,17,cross-country skiing,,,01:13:14,01:13:14,,,,,,11.07,35.0,0.0,,113,134,,,,,,,,,xc-ski - skating,,"Vetun miehen kanssa nihkeessä pakkaslumessa itäisen kantakaupungin saaristossa. Nähtiin korkeasaaren villieläimiä sekä graffititaiteilijoita työssään. Enemmän sykettä nosti keskustelu kuin hiihto, mutta parempi niin.",
2013-03-20,,winter swimming,,,00:00:05,,,,00:00:05,,,,,3.0,,,,,,,,,,,,,,Vähän pidempi sessio.,
2013-03-24,,cycling,,,00:50:00,,,,00:50:00,,,15.0,,3.0,,,,,,,,,,,,Lapierre MTB,,"Uruttelua nokalla. Siellä missä Kjell Westön eilisiltana päättyneen ""Missä kuljimme kerran"" romaanin filmatisoinnin tapahtumapaikat kuten Kiimaniemi sijaitsevat.",
2013-03-25,20,cycling,,,00:39:08,,,,00:39:08,,,11.226,149.0,3.0,,139,161,,,,,,,,,Lapierre MTB,,Tykittelyä Nokalla. Ei oikein kulkenu.,
2013-03-27,9,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,,,,,,,"Avantouintikuuri alkoi tänään. 

<iframe src=""http://ubuntuone.com/3uvvf8TPMYtXOAANuIdZSk"" width=""525px"" height=""690px""></iframe>",
